Country ,UNSCRegGrp,LocationCode,ISO3_CODE,ISO2_CODE,SDMX,TwentyTwo,TwentyThree,TwentyFour,TwentyFive,TwentySix,TwentySeven,TwentyEight,TwentyNine,Thirty,ThirtyOne,ThirtyTwo,ThirtyThree,ThirtyFour,ThirtyFive,ThirtySix,ThirtySeven,ThirtyEight,ThirtyNine,Fourty,FourtyOne,FourtyTwo,FourtyThree,FourtyFour,FourtyFive,FourtySix,FourtySeven,FourtyEight,FourtyNine,Fifty,FiftyOne,FiftyTwo,FiftyThree,FiftyFour,FiftyFive,FiftySix,FiftySeven,FiftyEight,FiftyNine,Sixty,SixtyOne,SixtyTwo,SixtyThree,SixtyFour,SixtyFive,SixtySix,SixtySeven,SixtyEight,SixtyNine,Seventy,SeventyOne,SeventyTwo,SeventyThree,SeventyFour,SeventyFive,SeventySix,SeventySeven,SeventyEight,SeventyNine,Eighty,EightyOne,EightyTwo,EightyThree,EightyFour,EightyFive,EightySix,EightySeven,EightyEight,EightyNine,Ninety,NinetyOne,NinetyTwo,NinetyThree,NinetyFour,NinetyFive,NinetySix,NinetySeven,NinetyEight,NinetyNine,OneHundred
Türkiye,Western European and Others Group,792,TUR,TR,792,85341241,85816199,86260416,86696476,87132333,87569007,88003384,88438199,88879698,89331813,89791477,90247581,90691921,91121385,91533912,91933340,92322146,92696412,93057500,93408844,93748894,94074910,94385345,94679255,94954360,95208646,95439366,95646318,95829258,95982212,96105455,96201362,96266780,96299442,96299401,96269484,96212048,96127752,96017411,95884538,95733334,95562704,95371790,95161738,94935524,94696375,94444291,94181038,93907769,93623297,93329183,93027646,92719413,92405236,92085587,91758728,91424283,91082989,90733584,90379762,90021719,89656291,89284211,88905018,88519988,88128859,87728516,87320848,86909805,86494215,86072669,85645946,85212880,84774966,84335568,83893370,83447916,82999731,82549012
United Arab Emirates,Asia-Pacific Group,784,ARE,AE,784,9441128,9516871,9591854,9665320,9737048,9806692,9874281,9940085,10004319,10067403,10130008,10192520,10255434,10319346,10384576,10451480,10520193,10590827,10663646,10738861,10815996,10894640,10974581,11055054,11135425,11215445,11294748,11372877,11449471,11524162,11597023,11667559,11735811,11802008,11865647,11926314,11983826,12038516,12090436,12139321,12185176,12228290,12268970,12307668,12344528,12379844,12413765,12446666,12479516,12512384,12545517,12579359,12614315,12650962,12689084,12728672,12769704,12812636,12857872,12905140,12954708,13006260,13059695,13115309,13172880,13232272,13293234,13355526,13419057,13483806,13549752,13616576,13684100,13751870,13819400,13886687,13954034,14021551,14089003
Yemen,Asia-Pacific Group,887,YEM,YE,887,33696614,34449825,35219852,36000452,36781795,37565099,38349376,39135876,39923244,40710799,41499929,42288449,43075225,43861748,44649426,45436698,46222091,47006482,47790708,48571507,49345776,50117967,50885281,51644122,52395228,53136710,53866133,54585034,55296331,55997858,56688069,57364744,58025814,58674102,59311406,59938302,60554042,61154303,61740942,62315196,62873416,63416230,63942194,64452266,64949598,65433543,65904285,66361274,66803481,67233822,67652141,68056963,68447732,68826427,69193328,69545231,69882824,70207196,70518779,70819544,71109816,71385794,71648370,71899667,72139654,72367124,72582679,72787253,72978577,73155783,73319168,73470144,73607560,73731166,73842897,73943565,74031956,74108752,74176034
Belarus,Eastern European Group,112,BLR,BY,112,9534954,9498238,9455036,9412539,9371048,9330247,9289331,9247954,9206170,9164135,9121858,9079650,9037590,8995945,8954814,8914126,8874163,8834815,8796015,8757816,8720055,8682460,8644974,8607465,8569634,8531294,8491914,8451272,8409632,8366982,8323373,8278856,8233498,8187448,8140968,8094181,8046996,7999418,7951637,7903905,7856256,7808674,7761222,7714159,7667702,7621641,7575933,7530916,7486680,7443129,7400313,7358177,7316723,7276134,7236356,7197406,7159319,7121971,7085432,7049711,7014774,6980612,6947174,6914310,6881960,6850268,6819274,6788730,6758533,6728858,6699514,6670444,6641626,6612918,6584304,6555642,6526888,6498143,6469457
Bulgaria,Eastern European Group,100,BGR,BG,100,6781953,6687717,6618615,6565190,6511163,6456606,6401541,6346031,6290166,6234058,6177734,6121236,6064642,6008013,5951398,5894951,5838741,5782742,5727006,5671575,5616468,5561697,5507318,5453350,5399681,5346269,5293142,5240228,5187392,5134585,5081834,5029132,4976372,4923464,4870414,4817169,4763666,4710006,4656314,4602565,4548762,4494990,4441384,4388024,4334998,4282458,4230486,4179152,4128486,4078521,4029343,3981020,3933580,3887060,3841517,3796900,3753148,3710301,3668351,3627283,3587076,3547703,3509157,3471365,3434298,3397960,3362211,3326885,3291913,3257181,3222523,3187898,3153301,3118637,3083866,3048963,3013885,2978712,2943542
Czechia,Eastern European Group,203,CZE,CZ,203,10493986,10495295,10503733,10509965,10514272,10516794,10517690,10517076,10515198,10512537,10509580,10506590,10503807,10501506,10499896,10499200,10499538,10501215,10504313,10508560,10513988,10520411,10527693,10535748,10544122,10552716,10561172,10569346,10577126,10584219,10590560,10595819,10600058,10603376,10605652,10606867,10607002,10606040,10604087,10601326,10598088,10594698,10591361,10588234,10585518,10583550,10582638,10582954,10584695,10588371,10594376,10602337,10612078,10623803,10637418,10652900,10670128,10688588,10708212,10729116,10750976,10773665,10797026,10820883,10845123,10869528,10894322,10919384,10944360,10969476,10994479,11018907,11042762,11066105,11088722,11110596,11131893,11152489,11172304
Hungary,Eastern European Group,348,HUN,HU,348,9967307,10156239,9994992,9870870,9789542,9741316,9706442,9675328,9642912,9609082,9573742,9536800,9498246,9458298,9417258,9375191,9332392,9289117,9245460,9201661,9157724,9113778,9070048,9026703,8983698,8941182,8899389,8858142,8817396,8777046,8737265,8697965,8658792,8619464,8579928,8540098,8499632,8458458,8416500,8373776,8330146,8285680,8240474,8194455,8147949,8101297,8054634,8008162,7962169,7916540,7871371,7826885,7783238,7740662,7699028,7658406,7618771,7580028,7542098,7504902,7468382,7432501,7397306,7362885,7329217,7296128,7263754,7232210,7201488,7171583,7142411,7113868,7085998,7058752,7032076,7005913,6980265,6954950,6929830
Poland,Eastern European Group,616,POL,PL,616,39857146,41026068,40221726,39616730,39242577,39047655,38923845,38817187,38700518,38573935,38437517,38291012,38135299,37971542,37799685,37620296,37434341,37241771,37043145,36840499,36634491,36425186,36214005,36001210,35787488,35573947,35359891,35145640,34932339,34718810,34504622,34290231,34074967,33858602,33639964,33418205,33192781,32962468,32726742,32485014,32237121,31983821,31724726,31459143,31187676,30911364,30630767,30345923,30058215,29769211,29479475,29189712,28900582,28613166,28328679,28047959,27771353,27500057,27235018,26975965,26723169,26476938,26237351,26004010,25776907,25555912,25340357,25130396,24926208,24727265,24532861,24342279,24154785,23970225,23788547,23609585,23432809,23257158,23082363
Republic of Moldova,Eastern European Group,498,MDA,MD,498,3272996,3435931,3329865,3254966,3211875,3193756,3185847,3180732,3174727,3167853,3160141,3151669,3142583,3133020,3123060,3112811,3102422,3091957,3081524,3071336,3061537,3052151,3043274,3034910,3026902,3019228,3011890,3004708,2997533,2990387,2983181,2975745,2967901,2959604,2950920,2941820,2932241,2922091,2911390,2900199,2888476,2876253,2863618,2850584,2837180,2823537,2809753,2795905,2782056,2768240,2754518,2741018,2727851,2715046,2702577,2690400,2678569,2667082,2655950,2645128,2634572,2624382,2614511,2604820,2595266,2585855,2576541,2567253,2557949,2548592,2539128,2529517,2519739,2509758,2499593,2489276,2478772,2468055,2457142
Romania,Eastern European Group,642,ROU,RO,642,19659266,19892812,19618996,19424323,19291945,19208482,19144537,19085238,19023384,18959017,18892251,18823372,18752783,18680471,18606573,18531225,18454237,18375560,18295603,18214523,18132423,18049550,17966025,17882022,17797514,17712700,17627677,17542503,17457213,17371613,17285538,17198605,17110533,17020831,16928728,16834039,16737121,16637911,16536378,16432944,16327810,16221489,16114514,16007278,15900324,15794046,15688825,15585182,15483266,15382748,15283710,15186396,15091066,14998034,14907136,14817961,14730373,14644584,14560804,14478762,14398553,14320054,14242845,14167084,14092970,14020175,13948215,13876861,13806070,13735694,13665400,13595279,13525441,13455669,13385830,13315808,13245556,13175374,13105206
