Country ,UNSCRegGrp,LocationCode,ISO3_CODE,ISO2_CODE,SDMX,TwentyTwo,TwentyThree,TwentyFour,TwentyFive,TwentySix,TwentySeven,TwentyEight,TwentyNine,Thirty,ThirtyOne,ThirtyTwo,ThirtyThree,ThirtyFour,ThirtyFive,ThirtySix,ThirtySeven,ThirtyEight,ThirtyNine,Fourty,FourtyOne,FourtyTwo,FourtyThree,FourtyFour,FourtyFive,FourtySix,FourtySeven,FourtyEight,FourtyNine,Fifty,FiftyOne,FiftyTwo,FiftyThree,FiftyFour,FiftyFive,FiftySix,FiftySeven,FiftyEight,FiftyNine,Sixty,SixtyOne,SixtyTwo,SixtyThree,SixtyFour,SixtyFive,SixtySix,SixtySeven,SixtyEight,SixtyNine,Seventy,SeventyOne,SeventyTwo,SeventyThree,SeventyFour,SeventyFive,SeventySix,SeventySeven,SeventyEight,SeventyNine,Eighty,EightyOne,EightyTwo,EightyThree,EightyFour,EightyFive,EightySix,EightySeven,EightyEight,EightyNine,Ninety,NinetyOne,NinetyTwo,NinetyThree,NinetyFour,NinetyFive,NinetySix,NinetySeven,NinetyEight,NinetyNine,OneHundred
Isle of Man,,833,IMN,IM,833,84519,84710,84904,85082,85250,85403,85546,85676,85798,85916,86023,86126,86225,86313,86398,86479,86554,86625,86689,86740,86780,86811,86830,86831,86822,86801,86770,86731,86680,86619,86547,86472,86402,86329,86248,86174,86106,86037,85974,85922,85882,85851,85830,85818,85816,85828,85843,85870,85911,85959,86013,86080,86155,86232,86311,86399,86489,86582,86672,86759,86852,86937,87021,87114,87201,87288,87376,87458,87541,87622,87702,87782,87874,87954,88025,88104,88184,88262,88338
Jersey,,832,JEY,JE,832,110779,111803,112842,113890,114938,115978,117012,118036,119047,120042,121023,121987,122940,123869,124779,125674,126547,127396,128225,129040,129829,130592,131337,132065,132771,133459,134133,134792,135441,136080,136709,137333,137945,138544,139144,139742,140331,140910,141488,142062,142620,143171,143718,144261,144791,145308,145819,146327,146832,147332,147822,148301,148778,149251,149714,150173,150627,151081,151542,151994,152443,152893,153342,153800,154259,154721,155189,155662,156152,156645,157147,157655,158166,158691,159228,159766,160306,160852,161397
Latvia,Eastern European Group,428,LVA,LV,428,1850651,1830211,1810240,1790796,1771916,1753619,1735806,1718386,1701338,1684648,1668342,1652459,1637036,1622115,1607720,1593821,1580292,1567064,1554125,1541431,1528957,1516658,1504527,1492555,1480684,1468878,1457134,1445434,1433728,1421992,1410223,1398400,1386525,1374619,1362687,1350718,1338745,1326806,1314902,1303061,1291319,1279699,1268224,1256872,1245655,1234622,1223766,1213101,1202648,1192388,1182334,1172479,1162830,1153401,1144132,1135013,1126042,1117240,1108619,1100130,1091764,1083553,1075520,1067626,1059859,1052191,1044597,1037057,1029565,1022140,1014739,1007327,999890,992410,984893,977312,969652,961939,954184
Lithuania,Eastern European Group,440,LTU,LT,440,2750055,2718351,2692798,2668446,2645221,2622934,2601223,2579906,2558928,2538213,2517665,2497243,2476990,2456932,2437128,2417606,2398329,2379311,2360590,2342143,2323956,2306096,2288574,2271313,2254286,2237426,2220703,2204104,2187551,2170990,2154416,2137798,2121113,2104361,2087538,2070651,2053722,2036744,2019733,2002804,1985987,1969242,1952579,1936044,1919722,1903598,1887678,1872058,1856727,1841675,1826928,1812520,1798464,1784730,1771303,1758181,1745335,1732772,1720494,1708445,1696595,1684939,1673489,1662231,1651135,1640179,1629316,1618520,1607822,1597242,1586748,1576291,1565860,1555447,1545006,1534545,1524091,1513608,1503077
Norway,Western European and Others Group,578,NOR,NO,578,5434319,5474360,5514477,5554468,5594125,5633425,5672292,5710638,5748397,5785506,5821884,5857592,5892684,5927178,5961087,5994456,6027402,6059762,6091402,6122351,6152665,6182325,6211226,6239281,6266468,6292968,6318754,6343614,6367559,6390727,6413086,6434758,6455870,6476392,6496450,6516086,6535250,6554044,6572558,6590822,6609112,6627534,6646105,6664806,6683607,6702616,6721883,6741452,6761191,6780955,6800644,6820192,6839502,6858399,6876895,6895152,6913015,6930238,6946736,6962477,6977636,6992218,7006265,7019851,7033056,7046149,7059264,7072399,7085666,7099047,7112384,7125800,7139306,7152744,7166115,7179449,7192886,7206408,7219858
Sweden,Western European and Others Group,752,SWE,SE,752,10549347,10612086,10673670,10733867,10792212,10848755,10903539,10956367,11007228,11056111,11103547,11149630,11194468,11238751,11282735,11326610,11370307,11414014,11458122,11502693,11547531,11592572,11637925,11683490,11728858,11773616,11817527,11860397,11902034,11942618,11982219,12020562,12057661,12093389,12127603,12160601,12192506,12223226,12253034,12282431,12311632,12340594,12369453,12398208,12426976,12456031,12485166,12514369,12543628,12572681,12601638,12630758,12659712,12688014,12715476,12741900,12766976,12790766,12813238,12834118,12853704,12872296,12890062,12907144,12923784,12940201,12956812,12973894,12991509,13009683,13028551,13048268,13068531,13088940,13109152,13129060,13148860,13168570,13187841
United Kingdom,Western European and Others Group,826,GBR,GB,826,67508935,67736802,67961440,68180606,68393799,68600793,68799832,68991815,69175770,69351743,69521624,69685134,69842265,69993981,70140305,70282756,70421425,70556286,70689476,70819795,70946133,71067664,71182807,71291518,71391913,71481590,71561147,71629117,71684965,71730549,71765151,71786515,71797771,71800362,71794242,71782642,71765925,71745297,71724019,71702781,71681472,71663067,71649323,71639280,71630437,71623268,71620264,71620599,71621358,71622565,71624760,71625981,71624894,71619405,71608596,71593429,71573074,71546858,71515891,71479038,71435804,71389178,71339566,71286564,71230676,71172697,71114598,71056650,70999506,70943206,70887329,70832993,70780599,70729521,70680133,70631042,70582506,70534904,70485071
Albania,Eastern European Group,8,ALB,AL,8,2842321,2832439,2826020,2821627,2816694,2811110,2804771,2797600,2789598,2780747,2770957,2760239,2748602,2736080,2722651,2708322,2693123,2677082,2660261,2642682,2624351,2605326,2585681,2565420,2544581,2523233,2501416,2479150,2456472,2433447,2410095,2386456,2362612,2338671,2314636,2290462,2266228,2241969,2217671,2193330,2168946,2144514,2119998,2095344,2070486,2045423,2020143,1994581,1968691,1942411,1915726,1888653,1861202,1833355,1805097,1776443,1747378,1717915,1688101,1657949,1627496,1596837,1566007,1535081,1504140,1473235,1442424,1411764,1381307,1351092,1321193,1291702,1262630,1233974,1205778,1178009,1150650,1123709,1097162
Andorra,Western European and Others Group,20,AND,AD,20,79824,80088,80341,80578,80796,80998,81187,81366,81529,81673,81799,81914,82015,82096,82154,82190,82218,82227,82210,82169,82104,82011,81887,81738,81558,81347,81099,80817,80504,80158,79782,79376,78945,78489,78011,77510,76998,76477,75943,75402,74860,74319,73780,73241,72704,72173,71644,71119,70606,70110,69622,69138,68673,68228,67789,67357,66948,66542,66144,65761,65390,65035,64684,64342,64009,63685,63369,63061,62769,62479,62190,61920,61657,61400,61152,60915,60683,60460,60246
Bosnia and Herzegovina,Eastern European Group,70,BIH,BA,70,3233526,3210847,3194378,3181556,3168377,3154833,3140867,3126507,3111789,3096667,3081096,3065087,3048616,3031666,3014271,2996444,2978236,2959706,2940837,2921671,2902258,2882596,2862710,2842606,2822280,2801772,2781093,2760168,2739014,2717704,2696341,2674890,2653302,2631644,2609909,2588114,2566285,2544437,2522578,2500713,2478891,2457076,2435296,2413586,2391894,2370284,2348764,2327310,2305924,2284660,2263511,2242414,2221404,2200525,2179808,2159272,2138892,2118670,2098626,2078761,2059098,2039629,2020331,2001236,1982366,1963684,1945206,1926956,1908922,1891088,1873423,1855965,1838706,1821613,1804702,1787966,1771427,1755117,1739032
Croatia,Eastern European Group,191,HRV,HR,191,4030358,4008616,3986627,3964391,3941962,3919328,3896470,3873406,3850140,3826638,3802838,3778658,3754156,3729368,3704237,3678832,3653156,3627181,3600992,3574556,3547938,3521261,3494484,3467671,3440872,3414043,3387150,3360287,3333424,3306548,3279714,3252905,3226197,3199548,3172998,3146529,3120061,3093594,3067082,3040516,3013917,2987313,2960707,2934087,2907437,2880776,2854156,2827595,2801047,2774558,2748160,2721877,2695774,2669861,2644154,2618690,2593484,2568590,2544047,2519864,2496019,2472515,2449365,2426537,2403979,2381678,2359657,2337937,2316445,2295149,2274086,2253229,2232591,2212198,2192059,2172148,2152490,2133088,2113900
Gibraltar,,292,GIB,GI,292,32649,32689,32718,32742,32763,32778,32787,32782,32771,32756,32734,32706,32666,32626,32579,32523,32468,32406,32333,32249,32172,32090,31999,31910,31812,31706,31591,31474,31356,31231,31100,30966,30823,30680,30532,30382,30232,30080,29930,29774,29610,29452,29300,29138,28977,28823,28671,28518,28364,28212,28059,27916,27768,27615,27470,27325,27182,27030,26875,26735,26594,26449,26305,26154,26004,25852,25702,25556,25406,25253,25096,24943,24791,24638,24485,24327,24167,24017,23865
Greece,Western European and Others Group,300,GRC,GR,300,10384971,10341277,10302720,10263298,10223280,10182866,10142119,10101028,10059703,10018532,9977332,9935884,9894267,9852472,9810567,9768566,9726289,9683690,9640503,9596379,9551108,9504635,9457172,9408564,9358679,9307472,9254790,9200690,9144951,9087386,9028172,8967332,8904969,8841209,8775992,8709564,8642205,8574086,8505561,8436722,8367879,8299349,8231119,8163273,8096022,8029584,7963887,7899235,7835960,7773954,7713320,7654240,7596644,7540448,7485785,7432715,7381135,7330862,7281893,7234143,7187333,7141290,7095968,7051247,7006902,6962777,6918759,6874765,6830644,6786377,6741942,6697152,6652010,6606713,6561369,6516002,6470737,6425640,6380722
Holy See,,336,VAT,VA,336,510,518,526,532,537,540,547,556,560,569,577,585,593,602,609,617,625,635,642,650,659,667,677,688,697,704,714,723,731,744,754,766,779,792,805,816,829,843,854,866,879,889,895,903,915,929,940,950,963,976,988,1000,1014,1028,1039,1051,1065,1075,1083,1094,1104,1113,1124,1135,1144,1152,1160,1168,1174,1182,1191,1196,1200,1208,1214,1220,1226,1232,1237
Italy,Western European and Others Group,380,ITA,IT,380,59037474,58870762,58697744,58518843,58334489,58145106,57950037,57748925,57544258,57335522,57122854,56906954,56687086,56462486,56232293,55996946,55756846,55510870,55258472,54999062,54731605,54456717,54172671,53878465,53574515,53260724,52936136,52599485,52250484,51889661,51517231,51133594,50739280,50335708,49924398,49506354,49083571,48658271,48233137,47809382,47387438,46969746,46558431,46154408,45759142,45373167,44998006,44634439,44282762,43944077,43617922,43303331,43000217,42708893,42427559,42154939,41890060,41632498,41381769,41135644,40893535,40655446,40420976,40188386,39957052,39726906,39497804,39270546,39045144,38821138,38598118,38376516,38156344,37937651,37720649,37505628,37292909,37082387,36874247
Kosovo (under UNSC res. 1244),,412,XKX,XK,412,1659713,1663594,1667483,1671378,1675265,1679184,1683128,1687049,1690888,1694593,1698090,1701368,1704386,1707010,1709173,1710834,1711990,1712564,1712448,1711633,1710057,1707677,1704517,1700569,1695828,1690345,1684155,1677327,1669913,1661966,1653553,1644711,1635516,1626026,1616263,1606269,1596081,1585695,1575148,1564439,1553519,1542364,1530990,1519376,1507481,1495284,1482768,1469912,1456707,1443154,1429231,1414939,1400288,1385284,1369923,1354242,1338220,1321840,1305148,1288188,1270981,1253557,1235966,1218216,1200317,1182285,1164148,1145934,1127660,1109350,1091017,1072664,1054292,1035901,1017532,999199,980911,962689,944539
Malta,Western European and Others Group,470,MLT,MT,470,533286,535064,536740,538297,539715,540956,541996,542824,543425,543792,543919,543800,543443,542874,542106,541162,540076,538874,537574,536189,534754,533270,531757,530247,528737,527222,525714,524226,522737,521238,519731,518203,516660,515104,513521,511902,510230,508501,506713,504829,502840,500740,498514,496148,493641,490976,488147,485169,482048,478788,475400,471895,468278,464556,460760,456912,453010,449082,445138,441193,437277,433409,429610,425889,422273,418762,415366,412102,408981,406024,403223,400583,398112,395790,393632,391633,389767,388020,386366
Montenegro,Eastern European Group,499,MNE,ME,499,627082,626484,626102,625623,625039,624343,623549,622668,621696,620632,619469,618208,616859,615427,613922,612345,610696,608976,607200,605364,603442,601474,599464,597397,595288,593128,590925,588678,586385,584044,581646,579195,576689,574128,571502,568820,566092,563308,560473,557593,554668,551694,548656,545570,542438,539264,536052,532819,529556,526260,522953,519634,516311,512968,509614,506250,502872,499503,496140,492769,489413,486070,482713,479357,476018,472682,469342,465997,462648,459302,455950,452598,449257,445920,442586,439250,435913,432584,429267
North Macedonia,,807,MKD,MK,807,2093598,2085679,2082706,2082424,2081573,2080144,2078115,2075487,2072256,2068443,2064037,2059038,2053511,2047455,2040880,2033842,2026372,2018461,2010114,2001365,1992276,1982876,1973157,1963153,1952885,1942373,1931608,1920582,1909309,1897805,1886057,1874064,1861863,1849472,1836849,1823964,1810841,1797511,1783977,1770213,1756268,1742144,1727813,1713288,1698596,1683725,1668673,1653485,1638175,1622751,1607204,1591552,1575875,1560184,1544472,1528778,1513159,1497627,1482154,1466778,1451533,1436449,1421544,1406827,1392296,1377955,1363818,1349883,1336147,1322602,1309280,1296175,1283271,1270572,1258065,1245738,1233586,1221601,1209753
Portugal,Western European and Others Group,620,PRT,PT,620,10270865,10247605,10223348,10198116,10172106,10145530,10118394,10090603,10062183,10033283,10003604,9973208,9942164,9910155,9876958,9842256,9806204,9768966,9730312,9690100,9648403,9605092,9560036,9513430,9465530,9416346,9365892,9314294,9261305,9207036,9151668,9095340,9038153,8980145,8921523,8862380,8802838,8742892,8682658,8622415,8562064,8501680,8441542,8381647,8322232,8263644,8205957,8149236,8093612,8039265,7986425,7935164,7885562,7837762,7791548,7746683,7703326,7661404,7620840,7581466,7542970,7505260,7468141,7431228,7394380,7357672,7320930,7284015,7246935,7209800,7172696,7135774,7098974,7062308,7025995,6990035,6954530,6919658,6885463
San Marino,Western European and Others Group,674,SMR,SM,674,33660,33642,33614,33582,33560,33534,33506,33481,33458,33433,33406,33380,33352,33319,33287,33248,33203,33162,33112,33047,32974,32900,32812,32709,32600,32486,32347,32196,32044,31878,31698,31509,31310,31106,30901,30686,30471,30261,30050,29840,29634,29437,29244,29056,28880,28710,28548,28398,28260,28130,28010,27901,27803,27711,27624,27547,27474,27404,27338,27275,27215,27157,27096,27041,26986,26925,26868,26812,26747,26680,26614,26550,26490,26424,26358,26289,26221,26156,26093
Serbia,Eastern European Group,688,SRB,RS,688,7221366,7149076,7097028,7056384,7014414,6971014,6926165,6879959,6832604,6784260,6734876,6684594,6633549,6581784,6529329,6476325,6422894,6369081,6315060,6260938,6206812,6152783,6098809,6044880,5991145,5937644,5884256,5830979,5777806,5724755,5671738,5618576,5565224,5511650,5457782,5403442,5348664,5293496,5237857,5181774,5125318,5068528,5011434,4954111,4896670,4839237,4781934,4724788,4667886,4611348,4555200,4499550,4444526,4390242,4336718,4283951,4231962,4180861,4130637,4081242,4032720,3985068,3938290,3892300,3847041,3802534,3758800,3715681,3673067,3630954,3589253,3547930,3506950,3466261,3425836,3385674,3345669,3305794,3266060
Slovenia,Eastern European Group,705,SVN,SI,705,2119844,2119674,2118965,2117762,2116129,2114109,2111728,2108994,2105945,2102637,2099124,2095434,2091539,2087470,2083249,2078882,2074358,2069646,2064752,2059690,2054420,2048934,2043204,2037161,2030851,2024309,2017552,2010553,2003258,1995712,1987935,1979941,1971777,1963439,1954909,1946224,1937425,1928528,1919563,1910561,1901541,1892530,1883531,1874565,1865697,1856949,1848286,1839721,1831303,1823072,1815010,1807115,1799426,1791939,1784633,1777547,1770713,1764133,1757798,1751659,1745725,1740022,1734543,1729269,1724181,1719276,1714546,1709955,1705495,1701183,1697010,1692941,1688972,1685067,1681196,1677387,1673607,1669842,1666113
Spain,Western European and Others Group,724,ESP,ES,724,47558629,47519628,47473373,47420024,47360679,47296155,47226694,47153700,47076573,46995542,46911380,46822907,46728914,46629612,46525082,46414916,46299436,46177345,46047876,45910270,45763466,45607779,45443430,45269680,45084985,44887980,44678170,44455244,44219565,43971374,43710569,43437846,43153594,42858208,42552811,42238865,41917656,41590160,41256870,40919293,40578304,40235561,39892380,39548432,39204846,38863162,38524231,38188787,37858084,37533897,37217277,36907527,36605673,36313459,36031252,35759087,35496454,35243317,34998697,34761799,34532212,34308910,34091152,33877249,33667227,33460949,33256943,33055165,32855479,32656643,32458234,32260881,32064222,31867655,31671213,31474039,31276177,31078356,30880752
Austria,Western European and Others Group,40,AUT,AT,40,8939617,8958961,8977139,8994123,9009822,9023828,9036044,9046322,9054576,9060869,9065311,9067937,9068871,9068346,9066454,9063230,9058835,9053460,9047039,9039623,9031238,9021774,9011355,8999967,8987428,8973593,8958386,8941894,8924190,8905098,8884518,8862759,8839835,8815837,8791242,8766162,8740607,8714800,8689137,8663690,8638618,8614157,8590202,8566779,8543993,8521826,8500100,8478879,8458094,8437481,8417038,8396728,8376262,8355533,8334623,8313466,8292142,8270860,8249593,8228534,8207686,8187010,8166600,8146557,8127072,8108188,8089987,8072624,8056318,8040976,8026642,8013470,8001332,7990088,7979785,7970277,7961450,7953320,7945563
Belgium,Western European and Others Group,56,BEL,BE,56,11655930,11686140,11715774,11744520,11772171,11798878,11824728,11849632,11873460,11896391,11918379,11939396,11959521,11978613,11996664,12013501,12029156,12043628,12056740,12068442,12078530,12086810,12093128,12097720,12100428,12100896,12099277,12095848,12090657,12083920,12075910,12066592,12056240,12044982,12033090,12020829,12008237,11995460,11982622,11969796,11957414,11945556,11934060,11923188,11912763,11902621,11893028,11883806,11874625,11865410,11856106,11846664,11837080,11827278,11816974,11806220,11795194,11783643,11771440,11758828,11745820,11732295,11718396,11704190,11689731,11675486,11661661,11648225,11635172,11622403,11610033,11598317,11587044,11575677,11564548,11553785,11542992,11532135,11521156
France,Western European and Others Group,250,FRA,FR,250,64626628,64756584,64881830,65003383,65121252,65232615,65340179,65445007,65543452,65638631,65730715,65817040,65894943,65962123,66018497,66064850,66102758,66131331,66150546,66159894,66159385,66149696,66129829,66099100,66058684,66011063,65956429,65895052,65827072,65752153,65672498,65587444,65497932,65405050,65308396,65210053,65109485,65006394,64902969,64800486,64698406,64596835,64496627,64398802,64303156,64208570,64115158,64023734,63933476,63842865,63752778,63664701,63577808,63490236,63401066,63309456,63215269,63119666,63021789,62920934,62819027,62716074,62610510,62504050,62398053,62291706,62184051,62075149,61965784,61856046,61746414,61636868,61526772,61416439,61305559,61192979,61080057,60966568,60851673
Germany,Western European and Others Group,276,DEU,DE,276,83369843,83294633,83252474,83199069,83134876,83058838,82971794,82873294,82762675,82643647,82515756,82377569,82230377,82073885,81910193,81742143,81569127,81389362,81201103,81006024,80804806,80596076,80379918,80157776,79928543,79691578,79446826,79193152,78932228,78665188,78391674,78112717,77830769,77545526,77257540,76969951,76685629,76405360,76130209,75862235,75602682,75353041,75113485,74884119,74663932,74450625,74243912,74043688,73848370,73655671,73463457,73270699,73077408,72883375,72689184,72495166,72299996,72104751,71910856,71717186,71523819,71332955,71145752,70963140,70784979,70611359,70444086,70284069,70130955,69983583,69842457,69709011,69582707,69462190,69347299,69237823,69133244,69033371,68936103
Liechtenstein,Western European and Others Group,438,LIE,LI,438,39327,39584,39822,40049,40272,40477,40674,40858,41030,41192,41335,41469,41593,41703,41806,41892,41966,42041,42105,42149,42194,42231,42252,42272,42289,42300,42305,42300,42287,42264,42243,42221,42194,42159,42117,42075,42030,41980,41931,41880,41829,41778,41730,41683,41636,41596,41561,41528,41497,41468,41444,41429,41412,41399,41390,41383,41385,41382,41374,41370,41374,41374,41376,41379,41376,41379,41382,41386,41392,41394,41404,41410,41412,41421,41436,41446,41460,41468,41474
Luxembourg,Western European and Others Group,442,LUX,LU,442,647599,654767,661594,668100,674296,680226,685968,691584,697086,702458,707675,712750,717696,722516,727218,731798,736260,740621,744884,749034,753090,757069,760934,764687,768343,771898,775350,778689,781910,785023,788033,790931,793739,796470,799110,801674,804148,806516,808808,811029,813176,815257,817277,819218,821088,822926,824709,826448,828147,829804,831453,833092,834701,836308,837896,839438,840970,842508,844026,845538,847080,848623,850164,851706,853283,854912,856554,858239,859976,861754,863568,865416,867294,869221,871199,873222,875284,877370,879481
Monaco,Western European and Others Group,492,MCO,MC,492,36469,36298,36157,36051,35968,35909,35877,35862,35862,35879,35904,35941,35987,36038,36111,36184,36257,36350,36442,36534,36637,36748,36864,36986,37113,37249,37386,37523,37664,37813,37968,38123,38281,38448,38621,38800,38985,39180,39383,39592,39810,40038,40281,40528,40780,41038,41308,41585,41868,42160,42455,42758,43064,43370,43678,43991,44305,44618,44936,45249,45564,45877,46189,46498,46805,47118,47419,47713,48016,48311,48599,48888,49183,49468,49749,50032,50306,50582,50858
Netherlands,Western European and Others Group,528,NLD,NL,528,17564014,17618298,17671125,17722333,17771604,17818839,17863750,17905449,17943802,17978614,18009471,18036007,18058190,18075641,18088257,18096419,18100104,18100067,18096391,18088840,18078167,18064333,18046977,18027049,18004933,17980469,17954107,17926277,17897025,17866601,17835289,17803715,17772584,17741957,17711921,17682686,17654373,17627111,17601170,17576645,17553787,17532397,17512496,17493977,17476308,17459711,17443959,17428920,17414156,17398982,17383313,17366745,17348899,17329570,17308827,17286234,17261514,17235024,17206931,17177342,17146148,17113753,17080412,17046047,17011304,16976766,16942513,16908481,16874746,16841306,16808113,16775775,16744432,16713870,16684660,16656768,16629866,16604378,16580142
Switzerland,Western European and Others Group,756,CHE,CH,756,8740472,8796669,8851431,8904610,8956124,9005961,9053857,9099768,9143698,9185564,9225604,9263953,9300708,9335954,9369870,9402848,9434849,9465878,9496105,9525647,9554526,9582608,9609938,9636489,9662180,9686962,9710561,9732793,9753752,9773150,9790955,9807354,9822131,9835468,9847782,9859135,9869574,9879217,9888169,9896817,9905548,9914466,9923499,9932796,9942418,9952315,9962626,9973164,9983843,9994828,10005822,10016846,10027942,10039008,10050124,10061252,10072657,10084269,10095948,10107859,10119930,10132593,10145857,10159353,10173243,10187764,10203138,10219234,10236017,10253619,10272118,10291370,10311305,10331836,10352773,10374128,10395866,10417724,10439548
Anguilla,,660,AIA,AI,660,15857,15900,15936,15966,15994,16018,16032,16044,16055,16058,16052,16042,16031,16015,15991,15969,15946,15913,15875,15833,15785,15738,15692,15637,15575,15511,15444,15372,15294,15212,15124,15034,14936,14834,14730,14622,14508,14391,14271,14147,14020,13890,13764,13631,13494,13359,13218,13075,12940,12798,12653,12512,12372,12233,12098,11958,11818,11688,11561,11434,11310,11187,11072,10960,10849,10738,10631,10528,10428,10334,10241,10146,10056,9967,9878,9794,9706,9618,9532
Antigua and Barbuda,Latin American and Caribbean Group,28,ATG,AG,28,93763,94298,94816,95318,95804,96266,96701,97118,97510,97871,98200,98507,98788,99034,99244,99422,99570,99689,99776,99834,99851,99839,99806,99744,99658,99543,99396,99227,99030,98811,98583,98331,98058,97771,97469,97152,96825,96484,96132,95762,95379,94990,94590,94187,93769,93334,92896,92448,91992,91529,91058,90587,90105,89616,89114,88596,88084,87567,87041,86510,85974,85429,84884,84343,83796,83255,82714,82174,81638,81106,80572,80044,79520,78996,78490,77988,77484,76989,76500
Aruba,,533,ABW,AW,533,106445,106277,106178,106043,105881,105689,105461,105204,104923,104612,104275,103910,103526,103120,102689,102241,101768,101272,100744,100194,99616,99010,98392,97746,97069,96374,95655,94925,94185,93421,92646,91859,91060,90258,89464,88672,87881,87102,86334,85582,84836,84103,83393,82695,82006,81335,80676,80026,79390,78757,78126,77500,76878,76259,75640,75014,74388,73761,73128,72494,71865,71224,70574,69926,69273,68613,67950,67284,66620,65954,65289,64629,63970,63320,62678,62045,61418,60793,60188
Bahamas,Latin American and Caribbean Group,44,BHS,BS,44,409984,412624,415222,417790,420306,422785,425211,427562,429846,432056,434166,436176,438082,439872,441526,443039,444418,445658,446760,447725,448557,449247,449788,450211,450527,450708,450774,450743,450625,450426,450155,449812,449398,448936,448439,447902,447328,446728,446111,445478,444821,444145,443448,442717,441960,441183,440380,439555,438706,437820,436898,435937,434932,433883,432790,431659,430505,429316,428082,426822,425536,424225,422893,421554,420200,418838,417492,416150,414804,413457,412130,410831,409569,408342,407153,406007,404896,403833,402810
Barbados,Latin American and Caribbean Group,52,BRB,BB,52,281635,281996,282309,282581,282797,282962,283071,283112,283082,282986,282816,282567,282254,281861,281386,280848,280235,279540,278768,277923,277003,276014,274967,273860,272706,271515,270292,269048,267788,266505,265212,263918,262628,261333,260038,258763,257496,256237,254983,253729,252488,251249,250012,248779,247554,246329,245090,243854,242612,241352,240100,238846,237567,236276,234975,233660,232334,231006,229670,228317,226965,225624,224272,222916,221558,220197,218841,217486,216138,214797,213464,212135,210803,209482,208170,206865,205572,204293,203022
"Bonaire, Sint Eustatius and Saba",,535,BES,BQ,535,27026,27148,27272,27399,27518,27620,27718,27818,27904,27980,28058,28126,28189,28248,28306,28361,28409,28455,28501,28538,28568,28605,28636,28659,28681,28699,28712,28727,28735,28735,28733,28730,28724,28718,28713,28709,28703,28693,28684,28677,28669,28663,28654,28645,28637,28638,28640,28630,28624,28624,28621,28618,28614,28611,28610,28612,28612,28608,28609,28616,28619,28622,28636,28648,28663,28681,28698,28721,28739,28763,28791,28811,28834,28860,28884,28907,28925,28946,28971
British Virgin Islands,,92,VGB,VG,92,31305,31538,31763,31984,32198,32406,32608,32806,32995,33177,33356,33526,33682,33831,33979,34116,34237,34349,34450,34542,34620,34678,34730,34768,34789,34801,34800,34787,34768,34739,34702,34657,34603,34554,34503,34444,34384,34319,34255,34194,34125,34059,33993,33925,33859,33796,33725,33656,33590,33522,33450,33380,33316,33249,33180,33111,33044,32977,32906,32837,32769,32702,32635,32564,32495,32426,32361,32296,32227,32162,32100,32036,31974,31916,31858,31806,31760,31712,31667
Cayman Islands,,136,CYM,KY,136,68706,69310,69886,70445,70981,71492,71980,72438,72864,73263,73636,73979,74292,74585,74860,75110,75342,75559,75762,75958,76146,76334,76523,76712,76907,77098,77280,77464,77633,77784,77919,78028,78108,78161,78193,78199,78168,78117,78054,77972,77882,77776,77664,77543,77414,77284,77150,77017,76880,76755,76640,76521,76414,76330,76262,76204,76170,76152,76152,76183,76233,76299,76380,76482,76598,76726,76865,77011,77162,77316,77476,77642,77805,77965,78126,78282,78428,78570,78712
Cuba,Latin American and Caribbean Group,192,CUB,CU,192,11212191,11194449,11174588,11152631,11128799,11103139,11075736,11046696,11016042,10983570,10949207,10913301,10875840,10836646,10795857,10753317,10708950,10662877,10615034,10565416,10514019,10460868,10405863,10348775,10289433,10227682,10163491,10096926,10028085,9956916,9883418,9807822,9730625,9652117,9572188,9491219,9409710,9327767,9245788,9164136,9083047,9002824,8923573,8845508,8768802,8693526,8619642,8547092,8475821,8405632,8336376,8267966,8200172,8132624,8065244,7997875,7930272,7862268,7793941,7725378,7656410,7587190,7517922,7448756,7379800,7311183,7243049,7175474,7108520,7042179,6976538,6911623,6847417,6783940,6721307,6659418,6598211,6537839,6478340
Curaçao,,531,CUW,CW,531,191164,192077,192966,193836,194695,195525,196322,197092,197829,198519,199171,199786,200349,200870,201348,201778,202164,202507,202802,203058,203276,203466,203621,203743,203847,203924,203987,204038,204084,204134,204183,204236,204291,204356,204426,204505,204602,204702,204796,204890,204992,205089,205179,205259,205318,205356,205366,205340,205295,205222,205107,204959,204769,204552,204296,203993,203666,203307,202911,202495,202054,201588,201108,200612,200101,199584,199072,198558,198050,197560,197077,196607,196159,195736,195327,194920,194529,194163,193807
Dominica,Latin American and Caribbean Group,212,DMA,DM,212,72738,73040,73368,73685,73984,74264,74527,74770,74988,75178,75338,75474,75580,75660,75717,75743,75745,75722,75667,75592,75504,75391,75262,75112,74946,74769,74576,74378,74167,73941,73711,73476,73221,72959,72702,72426,72142,71851,71544,71237,70920,70585,70243,69890,69520,69144,68755,68351,67940,67516,67078,66623,66156,65686,65200,64702,64197,63683,63161,62636,62112,61579,61044,60513,59978,59445,58915,58385,57859,57340,56826,56314,55808,55316,54824,54333,53855,53385,52912
